Sample,Nitrous Oxide
Std1,1083.843
Std2,197.364
Std3,43.411
Std4,0.611
Std1,1090.708
Std2,202.748
Std3,44.861
Std4,0.868
A1,0
A2,0
A3,25.534
A4,25.203
A5,26.964
A6,27.962
A7,30.704
A8,0.57
A9,0.413
B1,60.208
B2,67.564
B3,63.378
B4,17.083
B5,65.151
B6,51.402
B7,63.843
B8,60.336
B9,0.275
C1,108.355
C2,117.554
C3,120.891
C4,124.763
C5,112.31
C6,120.664
C7,121.408
C8,128.825
C9,0.233
D1,239.464
D2,199.419
D3,239.216
D4,250.365
D5,252.691
D6,239.199
D7,262.755
D8,245.943
D9,0.356
E1,290.643
E2,292.697
E3,317.629
E4,310.781
E5,307.786
E6,292.263
E7,317.215
E8,337.605
E9,0
F1,378.373
F2,356.885
F3,363.141
F4,367.787
F5,373.199
F6,316.738
F7,347.329
F8,323.676
F9,0.451
G1,207.062
G2,257.358
G3,47.913
G4,379.793
G5,335.68
G6,312.066